gene name;baseMean;log2FoldChange;pvalue;padj;logP;Group;class
Gm4285;6,209441144;-2,173391395;0,070181941;0,1730698;0,761778709;not-signficant;other
Ush2a;123,2724485;0,92782881;0,070204113;0,173095355;0,761714585;not-signficant;other
Maea;241,2280555;0,639605783;0,070231085;0,173132736;0,761620807;not-signficant;maternal
Camta2;34,4619445;1,208843203;0,070401282;0,17352312;0,760642651;not-signficant;other
Gm9758;11,4277048;-1,409381497;0,070426035;0,173525772;0,760636016;not-signficant;other
Snhg6;68,1465162;-0,825615631;0,070419153;0,173525772;0,760636016;not-signficant;other
1810043G02Rik;62,35635063;0,896678388;0,070519;0,173725631;0,760136103;not-signficant;other
Tkt;20,41368198;-1,362009819;0,070594631;0,173882725;0,759743563;not-signficant;other
Dhrs1;56,37282162;-0,893926277;0,070632793;0,173918272;0,759654788;not-signficant;maternal
Pfn2;110,6664358;0,792726576;0,07063205;0,173918272;0,759654788;not-signficant;other
Erc2;102,9024796;0,938164761;0,070680736;0,174007093;0,759433047;not-signficant;other
Frmd4b;2,198620889;-3,657494115;0,070703694;0,174034382;0,759364945;not-signficant;other
Mok;20,20915234;1,112661272;0,070716219;0,174035986;0,759360942;not-signficant;other
Dcp1b;2,499007443;3,578807545;0,070737403;0,174058898;0,75930377;not-signficant;other
Itgad;2,436497174;3,521900152;0,070767162;0,174102897;0,759194003;not-signficant;other
Jak2;2025,033725;0,529127936;0,070818283;0,174199428;0,758953275;not-signficant;other
Irx2;11,7039278;1,601350976;0,070853099;0,174255826;0,758812692;not-signficant;other
Syde2;47,6846108;-1,086664056;0,070892313;0,17432302;0,75864526;not-signficant;other
Arhgap18;95,54806229;0,775602771;0,070911509;0,174340976;0,758600527;not-signficant;other
Exosc4;120,5185995;-0,926412488;0,070973491;0,174464101;0,758293922;not-signficant;other
Gabrq;23,51896152;1,443078561;0,070988373;0,174471425;0,758275692;not-signficant;other
Tmem200c;1,890206215;4,265091926;0,071020063;0,174520049;0,758154674;not-signficant;other
Tmprss9;6,751492796;-2,486694473;0,071077718;0,174632448;0,757875059;not-signficant;other
Lhx9;2,326078086;3,532022554;0,071118164;0,174686052;0,757741771;not-signficant;other
Mrm1;33,91730799;-0,9680764;0,07112337;0,174686052;0,757741771;not-signficant;other
Slc35a3;137,0438077;0,638494142;0,071187441;0,174814125;0,757423479;not-signficant;other
Sync;3,859261729;-2,936554306;0,071222514;0,174870957;0,757282314;not-signficant;other
Mrps11;221,8253671;0,899549514;0,071293274;0,175015375;0,756923797;not-signficant;other
C920025E04Rik;21,99142065;1,103595382;0,071335804;0,175090459;0,756737519;not-signficant;other
Fam204a;148,4094705;0,836773399;0,07158429;0,175641535;0,755372777;not-signficant;other
Ncoa1;308,9358125;0,676430278;0,071581652;0,175641535;0,755372777;not-signficant;other
Usp44;17,18600802;1,38595716;0,071716233;0,175935823;0,754645722;not-signficant;other
Rbfa;28,84629167;-1,278138725;0,071728704;0,175936971;0,75464289;not-signficant;other
Efcab3;22,19982997;1,209568446;0,071806292;0,176097813;0,754246038;not-signficant;other
