"Gene_id","Intersection_category","Intersection_count"
"GM11237","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"GM11239","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"GM11487","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"GM11517","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"GM11546","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"GM11756","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"GM11758","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GM11808","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GM11843","B6D2F1 pure (N=1)",1
"GM12613","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"GM12621","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"GM12625","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"GM12627","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"GM13083","B6D2F1 pure (N=1)",1
"GM13147","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GM13212","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"GM13230","B6D2F1 pure (N=1)",1
"GM13423","B6D2F1 pure (N=1)",1
"GM13736","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GM13769","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"GM13867","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"GM14139","B6D2F1 pure (N=1)",1
"GM14401","B6D2F1 pure (N=1)",1
"GM15443","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"GM15950","B6D2F1 pure (N=1)",1
"GM16026","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GM16286","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"GM16427","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"GM16513","B6D2F1 pure (N=1)",1
"GM17535","B6D2F1 pure (N=1)",1
"GM2000","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GM20390","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"GM20765","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"GM20768","B6D2F1 pure (N=1)",1
"GM21293","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"GM21304","B6D2F1 pure (N=1)",1
"GM21312","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"GM21731","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"GM21738","B6D2F1 pure (N=1)",1
